,Location,Operator,Route,Type,Aboard,Fatalities,Ground,Year,Month,Day
,"Fort Myer, Virginia",Military - U.S. Army,Demonstration,Wright Flyer III,2,1,0,1908,09,17
,"AtlantiCity, New Jersey",Military - U.S. Navy,Test flight,Dirigible,5,5,0,1912,07,12
,"Victoria, British Columbia, Canada",Private,,Curtiss seaplane,1,1,0,1913,08,06
,Over the North Sea,Military - German Navy,,Zeppelin L-1 (airship),20,14,0,1913,09,09
,"Near Johannisthal, Germany",Military - German Navy,,Zeppelin L-2 (airship),30,30,0,1913,10,17
,"Tienen, Belgium",Military - German Navy,,Zeppelin L-8 (airship),41,21,0,1915,03,05
,"Off Cuxhaven, Germany",Military - German Navy,,Zeppelin L-10 (airship),19,19,0,1915,09,03
,"Near Jambol, Bulgeria",Military - German Army,,Schutte-Lanz S-L-10 (airship),20,20,0,1916,07,28
,"Billericay, England",Military - German Navy,,Zeppelin L-32 (airship),22,22,0,1916,09,24
,"Potters Bar, England",Military - German Navy,,Zeppelin L-31 (airship),19,19,0,1916,10,01
,"Mainz, Germany",Military - German Army,,Super Zeppelin (airship),28,27,0,1916,11,21
,"Off West Hartlepool, England",Military - German Navy,,Zeppelin L-34 (airship),20,20,0,1916,11,28
,"Near Gent, Belgium",Military - German Army,,Airship,20,20,0,1917,03,04
,Off Northern Germany,Military - German Navy,,Schutte-Lanz S-L-9 (airship),23,23,0,1917,03,30
,"Near Texel Island, North Sea",Military - German Navy,,Zeppelin L-22 (airship),21,21,0,1917,05,14
,"Off Vlieland Island, North Sea",Military - German Navy,,Zeppelin L-43 (airship),24,24,0,1917,06,14
,Off western Denmark,Military - German Navy,,Zeppelin L-23 (airship),18,18,0,1917,08,21
,"Near Luneville, France",Military - German Navy,,Zeppelin L-44 (airship),18,18,0,1917,10,20
,Over the Mediterranean,Military - German Navy,,Zeppelin L-59 (airship),23,23,0,1918,04,07
,"Off Helgoland Island, Germany",Military - German Navy,,Zeppelin L-70 (airship),22,22,0,1918,05,10
